iter	RMSE
0	49.04058326
1	48.14687147
2	47.33418285
3	46.56118053
4	45.80780313
5	44.97611377
6	44.16571992
7	43.36875463
8	42.67127878
9	41.94317854
10	41.22165229
11	40.5151891
12	39.86051699
13	39.26513627
14	38.62373643
15	38.02219721
16	37.40700211
17	36.84216235
18	36.26780434
19	35.75342084
20	35.26756449
21	34.76586874
22	34.26652046
23	33.77817953
24	33.3117922
25	32.87312317
26	32.46281101
27	32.03891178
28	31.64296237
29	31.24337994
30	30.86712312
31	30.5311614
32	30.17549131
33	29.83553439
34	29.50105915
35	29.16436463
36	28.83505348
37	28.52324436
38	28.24067546
39	27.972141
40	27.68817956
41	27.41471015
42	27.19297385
43	26.94385607
44	26.69240523
45	26.47171766
46	26.25733951
47	26.03550882
48	25.81108589
49	25.62674125
50	25.46979093
51	25.30951955
52	25.14834083
53	24.98345531
54	24.81303324
55	24.64711281
56	24.48905042
57	24.32613746
58	24.16861823
59	24.02594713
60	23.89773062
61	23.77155214
62	23.65229036
63	23.53954313
64	23.42099039
65	23.30501131
66	23.19305932
67	23.07586033
68	22.98553913
69	22.87844274
70	22.78925801
71	22.68688233
72	22.59419656
73	22.50756109
74	22.40964147
75	22.34625049
76	22.26113788
77	22.19226866
78	22.12584373
79	22.05298217
80	21.98394809
81	21.91112477
82	21.85783614
83	21.80674978
84	21.74689065
85	21.69085322
86	21.6387682
87	21.58765157
88	21.54179086
89	21.49408105
90	21.43764862
91	21.38636869
92	21.3379849
93	21.2973143
94	21.25542804
95	21.21266739
96	21.1754369
97	21.14433618
98	21.11253631
99	21.07830097
100	21.03645874
101	21.00598909
102	20.9641602
103	20.93551953
104	20.8943989
105	20.85593579
106	20.83487307
107	20.79257221
108	20.75976182
109	20.72378612
110	20.69563554
111	20.66002664
112	20.63127472
113	20.6089355
114	20.57862448
115	20.55217303
116	20.52839424
117	20.50527028
118	20.49056287
119	20.47064661
120	20.45113707
121	20.43965291
122	20.41588653
123	20.39338028
124	20.38107279
125	20.35871587
126	20.34145163
127	20.33118622
128	20.31539883
129	20.30049887
130	20.28165422
131	20.25906495
132	20.242547
133	20.23171286
134	20.21920948
135	20.21185269
136	20.20118432
137	20.18904414
138	20.17724957
139	20.16948015
140	20.15748123
141	20.14556218
142	20.13318369
143	20.12098224
144	20.10504582
145	20.09837847
146	20.08928274
147	20.07253473
148	20.06686763
149	20.05720857
150	20.04333684
151	20.03084734
152	20.02521521
153	20.01789278
154	20.00176906
155	19.99371749
156	19.97482296
157	19.95421206
158	19.94312409
159	19.93619074
160	19.92955341
161	19.92091687
