iter	Passed	Remaining
0	79	101988
1	142	91532
2	204	87858
3	291	93686
4	359	92568
5	421	90260
6	487	89504
7	557	89329
8	628	89485
9	705	90398
10	786	91501
11	858	91467
12	921	90545
13	989	90215
14	1066	90766
15	1140	90905
16	1210	90726
17	1284	90837
18	1356	90824
19	1421	90360
20	1481	89619
21	1553	89628
22	1636	90228
23	1713	90466
24	1805	91415
25	1889	91930
26	1960	91785
27	2029	91530
28	2090	90977
29	2167	91117
30	2228	90593
31	2283	89849
32	2344	89387
33	2404	88880
34	2459	88272
35	2515	87694
36	2570	87112
37	2627	86645
38	2688	86300
39	2760	86342
40	2821	86035
41	2889	85934
42	2958	85868
43	3027	85813
44	3087	85500
45	3151	85305
46	3216	85134
47	3277	84882
48	3340	84670
49	3400	84388
50	3417	83085
51	3476	82828
52	3532	82509
53	3587	82178
54	3642	81848
55	3700	81602
56	3757	81341
57	3814	81097
58	3875	80933
59	3930	80638
60	3989	80451
61	4040	80100
62	4094	79810
63	4163	79814
64	4221	79624
65	4283	79504
66	4342	79336
67	4398	79113
68	4458	78953
69	4522	78885
70	4577	78653
71	4635	78485
72	4698	78391
73	4751	78135
74	4806	77925
75	4857	77661
76	4911	77429
77	4968	77270
78	5030	77176
79	5093	77103
80	5157	77041
81	5228	77085
82	5282	76887
83	5333	76639
84	5391	76501
85	5447	76329
86	5510	76259
87	5571	76158
88	5625	75976
89	5680	75801
90	5732	75591
91	5784	75385
92	5840	75231
93	5893	75050
94	5947	74875
95	6001	74700
96	6052	74501
97	6107	74354
98	6164	74219
99	6226	74162
100	6279	73988
101	6336	73858
102	6389	73699
103	6445	73561
104	6508	73519
105	6567	73424
106	6621	73267
107	6682	73200
108	6740	73097
109	6793	72941
110	6852	72848
111	6910	72748
112	6963	72594
113	7014	72426
114	7081	72420
115	7146	72384
116	7182	72070
117	7247	72042
118	7304	71942
119	7365	71873
120	7423	71776
121	7478	71654
122	7536	71562
123	7592	71456
124	7647	71335
125	7700	71196
126	7754	71072
127	7811	70975
128	7870	70891
129	7925	70779
130	7974	70615
131	8035	70555
132	8092	70462
133	8154	70404
134	8210	70307
135	8274	70270
136	8324	70122
137	8390	70099
138	8464	70153
139	8529	70124
140	8585	70020
141	8639	69909
142	8694	69797
143	8753	69725
144	8814	69664
145	8874	69595
146	8933	69526
147	8991	69441
148	9050	69363
149	9108	69288
150	9170	69233
151	9226	69140
152	9297	69152
153	9363	69128
154	9424	69074
155	9490	69048
156	9544	68940
157	9598	68829
158	9653	68726
159	9689	68490
160	9745	68401
161	9800	68302
162	9866	68275
163	9925	68207
164	9977	68087
165	10034	68002
166	10086	67887
167	10136	67759
168	10191	67658
169	10251	67599
170	10321	67601
171	10383	67553
172	10450	67537
173	10515	67501
174	10574	67433
175	10630	67348
176	10691	67289
177	10754	67243
178	10816	67197
179	10884	67180
180	10943	67115
181	11005	67058
182	11066	67005
183	11127	66946
184	11185	66868
185	11250	66835
186	11316	66809
187	11377	66754
188	11437	66685
189	11494	66608
190	11557	66559
191	11619	66511
192	11678	66442
193	11732	66345
194	11788	66255
195	11846	66180
196	11902	66097
197	11953	65983
198	12006	65887
199	12056	65769
200	12106	65649
201	12162	65571
202	12212	65451
203	12261	65336
204	12317	65251
205	12376	65185
206	12433	65108
207	12486	65013
208	12541	64928
209	12595	64836
210	12651	64756
211	12703	64655
212	12758	64569
213	12814	64493
214	12878	64452
215	12934	64373
216	12985	64271
217	13038	64176
218	13093	64090
219	13147	64004
220	13199	63908
221	13252	63814
222	13306	63727
223	13367	63674
224	13433	63643
225	13496	63602
226	13558	63551
227	13622	63513
228	13679	63440
229	13738	63374
230	13800	63328
231	13857	63256
232	13918	63202
233	13979	63147
234	14040	63091
235	14100	63031
236	14155	62953
237	14207	62857
238	14270	62816
239	14331	62758
240	14399	62737
241	14458	62674
242	14519	62617
243	14588	62597
244	14640	62507
245	14692	62413
246	14750	62346
247	14806	62270
248	14867	62215
249	14932	62178
250	14997	62141
251	15067	62123
252	15126	62061
253	15190	62017
254	15249	61953
255	15306	61882
256	15365	61821
257	15432	61790
258	15490	61721
259	15544	61638
260	15606	61590
261	15661	61510
262	15719	61445
263	15780	61387
264	15839	61325
265	15894	61246
266	15955	61193
267	16025	61172
268	16085	61112
269	16137	61023
270	16232	61095
271	16332	61187
272	16394	61133
273	16462	61101
274	16517	61022
275	16584	60991
276	16639	60910
277	16697	60845
278	16759	60789
279	16821	60736
280	16885	60691
281	16941	60618
282	16998	60545
283	17051	60462
284	17108	60388
285	17162	60310
286	17220	60243
287	17281	60184
288	17337	60110
289	17400	60061
290	17461	60005
291	17522	59949
292	17587	59905
293	17643	59831
294	17698	59754
295	17748	59662
296	17808	59600
297	17867	59539
298	17924	59467
299	17979	59390
300	18035	59317
301	18087	59232
302	18141	59154
303	18199	59088
304	18255	59015
305	18311	58942
306	18372	58887
307	18439	58849
308	18500	58793
309	18554	58717
310	18611	58646
311	18671	58588
312	18729	58522
313	18789	58463
314	18850	58406
315	18908	58339
316	18969	58284
317	19026	58216
318	19087	58159
319	19154	58121
320	19211	58054
321	19281	58023
322	19345	57977
323	19400	57902
324	19458	57837
325	19515	57768
326	19575	57708
327	19633	57643
328	19694	57585
329	19756	57534
330	19822	57492
331	19882	57430
332	19944	57379
333	20002	57313
334	20060	57247
335	20120	57186
336	20183	57136
337	20236	57057
338	20298	57002
339	20352	56925
340	20408	56856
341	20463	56783
342	20518	56711
343	20576	56644
344	20637	56587
345	20704	56549
346	20772	56510
347	20834	56457
348	20892	56392
349	20945	56314
350	21003	56247
351	21056	56171
352	21121	56125
353	21181	56065
354	21246	56019
355	21300	55944
356	21354	55867
357	21402	55778
358	21460	55712
359	21523	55662
360	21588	55615
361	21647	55552
362	21702	55482
363	21761	55419
