2026-07-28 15:28:25 | INFO | base_trainer.py | Line:74 | Model saved to C:\Users\MF\AppData\Local\Temp\tmpjjem7tnu\model.pkl
2026-07-28 15:28:25 | INFO | base_trainer.py | Line:92 | Loading model from C:\Users\MF\AppData\Local\Temp\tmpjjem7tnu\model.pkl
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:35 | Starting engine-based train/validation split...
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:67 | Train Engines: 8 | Validation Engines: 2
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:72 | Data splitting completed successfully.
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:35 | Starting engine-based train/validation split...
2026-07-28 15:28:25 | ERROR | custom_exception.py | Line:31 | Error occurred in script: [N/A] at line [N/A] with message: [Input DataFrame is empty.]
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:35 | Starting engine-based train/validation split...
2026-07-28 15:28:25 | ERROR | custom_exception.py | Line:31 | Error occurred in script: [N/A] at line [N/A] with message: [test_size must be between 0 and 1.]
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:35 | Starting engine-based train/validation split...
2026-07-28 15:28:25 | ERROR | custom_exception.py | Line:31 | Error occurred in script: [N/A] at line [N/A] with message: ['unit_number' column not found.]
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:35 | Starting engine-based train/validation split...
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:67 | Train Engines: 8 | Validation Engines: 2
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:72 | Data splitting completed successfully.
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:35 | Starting engine-based train/validation split...
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:67 | Train Engines: 8 | Validation Engines: 2
2026-07-28 15:28:25 | INFO | data_splitter.py | Line:72 | Data splitting completed successfully.
2026-07-28 15:28:25 | INFO | evaluator.py | Line:47 | Starting regression evaluation...
2026-07-28 15:28:25 | ERROR | custom_exception.py | Line:31 | Error occurred in script: [N/A] at line [N/A] with message: [Ground truth array is empty.]
2026-07-28 15:28:25 | INFO | evaluator.py | Line:47 | Starting regression evaluation...
2026-07-28 15:28:25 | ERROR | custom_exception.py | Line:31 | Error occurred in script: [N/A] at line [N/A] with message: [y_true and y_pred must have the same length.]
2026-07-28 15:28:25 | INFO | evaluator.py | Line:47 | Starting regression evaluation...
2026-07-28 15:28:25 | ERROR | custom_exception.py | Line:31 | Error occurred in script: [N/A] at line [N/A] with message: [Inputs cannot be None.]
2026-07-28 15:28:25 | INFO | evaluator.py | Line:47 | Starting regression evaluation...
2026-07-28 15:28:25 | INFO | evaluator.py | Line:80 | Evaluation completed successfully.
2026-07-28 15:28:25 | INFO | evaluator.py | Line:47 | Starting regression evaluation...
2026-07-28 15:28:25 | INFO | evaluator.py | Line:80 | Evaluation completed successfully.
2026-07-28 15:28:25 | INFO | evaluator.py | Line:47 | Starting regression evaluation...
